date,iqa
2025-05-04,134.09
2025-05-05,129.4
2025-05-06,125.43
2025-05-07,125.84
2025-05-08,122.94
2025-05-09,119.8
2025-05-10,102.28
2025-05-12,128.16
2025-05-13,110.87
2025-05-14,113.39
2025-05-15,123.7
2025-05-16,122.39
2025-05-17,108.44
2025-05-18,103.57
2025-05-19,112.09
2025-05-20,118.77
2025-05-21,123.74
2025-05-22,122.75
2025-05-23,118.03
2025-05-24,121.59
2025-05-25,118.74
2025-05-26,125.75
2025-05-27,129.53
2025-05-28,124.67
2025-05-29,124.95
2025-05-30,120.68
2025-05-31,121.9
2025-06-01,118.55
2025-06-02,116.3
2025-06-03,115.29
2025-06-04,122.45
2025-06-05,121.39
2025-06-06,123.16
2025-06-07,123.72
2025-06-08,122.91
2025-06-09,117.88
2025-06-10,119.95
2025-06-11,120.64
2025-06-12,127.11
2025-06-13,117.78
2025-06-14,117.19
2025-06-15,116.42
2025-06-16,118.6
2025-06-17,122.88
2025-06-18,118.5
2025-06-19,116.13
2025-06-20,115.07
2025-06-21,117.34
2025-06-22,123.19
2025-06-23,123.45
2025-06-24,121.51
2025-06-25,119.59
2025-06-26,120.52
2025-06-27,120.62
2025-06-28,121.17
2025-06-29,117.79
2025-06-30,116.71
2025-07-01,114.7
2025-07-02,114.54
2025-07-03,119.11
2025-07-04,117.26
2025-07-05,115.17
2025-07-06,123.15
2025-07-07,120.11
2025-07-08,122.46
2025-07-09,112.6
2025-07-10,117.26
2025-07-11,118.85
2025-07-12,116.23
2025-07-13,117.46
2025-07-14,118.31
2025-07-15,120.71
2025-07-16,118.39
2025-07-17,116.8
2025-07-18,120.81
2025-07-19,122.41
2025-07-20,120.87
2025-07-21,118.96
2025-07-22,122.97
2025-07-23,119.9
2025-07-24,111.31
2025-07-25,118.15
2025-07-26,119.18
2025-07-27,121.13
2025-07-28,118.11
2025-07-29,120.77
2025-07-30,120.71
2025-07-31,121.86
2025-08-01,119.55
2025-08-02,117.25
2025-08-03,123.74
2025-08-04,120.0
2025-08-05,122.17
2025-08-06,120.7
2025-08-07,123.2
2025-08-08,117.38
2025-08-09,131.38
2025-08-12,133.19
