"Location ID","Location Name","Location Group","Location Type","Sensor ID","Place Open","Local Date/Time","UTC Date/Time","# of aggregated records","PM2.5 (μg/m³) raw","PM2.5 (μg/m³) corrected","0.3μm particle count","CO2 (ppm) raw","CO2 (ppm) corrected","Temperature (°C) raw","Temperature (°C) corrected","Heat Index (°C)","Humidity (%) raw","Humidity (%) corrected","TVOC (ppb)","TVOC index","NOX index","PM1 (μg/m³)","PM10 (μg/m³)"
164928,"Breath4life",,"Outdoor","airgradient:d83bda1d43d8",true,"2025-08-08 00:00:00","2025-08-08T00:00:00.000Z",1173,15.4,15.4,560,406,406,29.9,30.2,37.6,56,78,123,120,1,5.6,18.1
164928,"Breath4life",,"Outdoor","airgradient:d83bda1d43d8",true,"2025-08-07 00:00:00","2025-08-07T00:00:00.000Z",1315,7.9,7.9,408,406,406,30.3,30.6,38.9,57,79,89,91,1,2.7,9.4
164928,"Breath4life",,"Outdoor","airgradient:d83bda1d43d8",true,"2025-08-06 00:00:00","2025-08-06T00:00:00.000Z",1348,8.3,8.3,425,411,411,31,31.5,40.7,54,76,121,115,1,3.7,9.3
164928,"Breath4life",,"Outdoor","airgradient:d83bda1d43d8",true,"2025-08-05 00:00:00","2025-08-05T00:00:00.000Z",1312,14.2,14.2,569,403,403,29.8,30.1,37.5,56,78,133,123,1,6.1,16.2
164928,"Breath4life",,"Outdoor","airgradient:d83bda1d43d8",true,"2025-08-04 00:00:00","2025-08-04T00:00:00.000Z",1252,13.5,13.5,595,403,403,30.2,30.6,37.5,53,74,143,135,1,6,15.2
164928,"Breath4life",,"Outdoor","airgradient:d83bda1d43d8",true,"2025-08-03 00:00:00","2025-08-03T00:00:00.000Z",1397,9.2,9.2,467,403,403,29.5,29.8,35.5,54,75,126,122,1,3.9,10.2
164928,"Breath4life",,"Outdoor","airgradient:d83bda1d43d8",true,"2025-08-02 00:00:00","2025-08-02T00:00:00.000Z",1399,6.9,6.9,385,405,405,29.8,30,36.2,54,75,141,120,1,2.3,7.9
164928,"Breath4life",,"Outdoor","airgradient:d83bda1d43d8",true,"2025-08-01 00:00:00","2025-08-01T00:00:00.000Z",1401,13.9,13.9,548,408,408,31.1,31.6,39.2,50,70,137,133,1,5.3,16.2
164928,"Breath4life",,"Outdoor","airgradient:d83bda1d43d8",true,"2025-07-31 00:00:00","2025-07-31T00:00:00.000Z",1401,8.2,8.2,390,406,406,29.5,29.7,35.2,53,75,109,107,2,2.5,9.5
164928,"Breath4life",,"Outdoor","airgradient:d83bda1d43d8",true,"2025-07-30 00:00:00","2025-07-30T00:00:00.000Z",1399,1.8,1.8,197,405,405,29.5,29.8,36.9,58,80,84,87,1,0.7,2
164928,"Breath4life",,"Outdoor","airgradient:d83bda1d43d8",true,"2025-07-29 00:00:00","2025-07-29T00:00:00.000Z",1398,4.2,4.2,285,408,408,31.2,31.7,40.6,53,74,115,113,1,2.6,4.8
164928,"Breath4life",,"Outdoor","airgradient:d83bda1d43d8",true,"2025-07-28 00:00:00","2025-07-28T00:00:00.000Z",1391,4.6,4.6,327,404,404,30.2,30.6,38,55,76,140,127,2,1.8,5.2
164928,"Breath4life",,"Outdoor","airgradient:d83bda1d43d8",true,"2025-07-27 00:00:00","2025-07-27T00:00:00.000Z",1400,3,3,265,391,391,30.2,30.5,36.7,51,72,123,121,2,0.7,3.5
164928,"Breath4life",,"Outdoor","airgradient:d83bda1d43d8",true,"2025-07-26 00:00:00","2025-07-26T00:00:00.000Z",1398,5.4,5.4,349,395,395,30,30.3,35.4,49,69,113,110,2,2.2,6.3
164928,"Breath4life",,"Outdoor","airgradient:d83bda1d43d8",true,"2025-07-25 00:00:00","2025-07-25T00:00:00.000Z",1398,4.8,4.8,310,396,396,28.4,28.4,31.7,52,73,94,94,1,1.5,5.6
164928,"Breath4life",,"Outdoor","airgradient:d83bda1d43d8",true,"2025-07-24 00:00:00","2025-07-24T00:00:00.000Z",517,6.7,6.7,371,400,400,27.4,27.2,29.5,56,77,67,69,1,2.3,7.7
164928,"Breath4life",,"Outdoor","airgradient:d83bda1d43d8",true,"2025-07-22 00:00:00","2025-07-22T00:00:00.000Z",51,24.4,24.4,740,505,505,32.3,33,45.9,54,75,95,101,1,9.3,26.5
164928,"Breath4life",,"Outdoor","airgradient:d83bda1d43d8",true,"2025-07-18 00:00:00","2025-07-18T00:00:00.000Z",8,10.5,10.5,481,654,654,31.9,32.5,46.7,58,81,96,102,1,4.5,12.3
